T/1	Light/1	Pupil/3			PupilUpregulated/3			
193	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7418	
194	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7419	
195	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7419	
196	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7419	
197	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7419	
198	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7419	
199	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7419	
200	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7420	
201	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7420	
202	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7420	
203	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7420	
204	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7420	
205	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7420	
206	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7420	
207	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7420	
208	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7420	
209	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7421	
210	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7421	
211	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7421	
212	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7421	
213	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7421	
214	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7421	
215	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7421	
216	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7421	
217	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7421	
218	0.0000	0.0000	0.0000	0.7421	0.0000	0.0000	0.7421	
219	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7421	
220	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7421	
221	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7421	
